SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 5, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8674454145109632
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 5, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8940978638006077
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 5, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8653516234499466
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 5, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8456218049396403
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 5, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8735038392050588
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 5, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8978992157345815
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 5, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8650398163546029
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8779118035025046
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8811742295926748
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8781126175371602
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8646997798102981
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.877428374189045
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.877051446887575
