,E116,E122,E123
GCN,0.6343313373253493,0.47423092289252894,0.5307507987220448
MLP,0.7676646706586826,0.6252497003595685,0.5475239616613419
Weighted_Agg_GCN,0.6343313373253493,0.47423092289252894,0.5307507987220448
GAT,0.5401197604790419,0.47423092289252894,0.5279552715654952
