SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8729155118255729
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8918356584134024
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8656611850209411
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8944847355670527
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8754035528044675
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8993033100312062
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8661516716966413
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8766389119857109
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8817041733390819
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8751571867044428
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8630329591648189
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8795738123100928
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.9005053071364048
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8866016619446497
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8653663797528127
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.879094232466946
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8864701383756262
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8940766917138869
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8657821225466041
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.865347453190441
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8788167498152254
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8894034347540445
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 4, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.865340075039008
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8577505235279625
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8583898563890942
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8541820645479182
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8574550766814487
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8633389920546932
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8656323139935944
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8655838748254907
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8595754932454627
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8643202861952861
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8546375852016096
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8689207240083765
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8594439696764391
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8616301480249652
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8656249358421614
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8635064440133038
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 1, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8572407895006979
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.873721013488544
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8725703426541842
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8690933085940709
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8587751242095754
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8727092443746407
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8792565517984725
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8774707183624866
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8644643205428266
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.876061491438778
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.891659545146588
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8729973130697216
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8654497849429252
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8703475943376858
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8780481389094195
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8777716186252772
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 2, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8640735993060689
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8776317545372423
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8725494913566562
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8724275914634145
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8477717341093866
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8817028901823108
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8784257077892749
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.87826242609017
