,E116,E122,E123
GCN,0.9120248470477128,0.9068678413307283,0.9263300234736375
MLP,0.9089087008294325,0.8960957485218539,0.9183190366849182
Weighted_Agg_GCN,0.9119786534039583,0.9071219876934264,0.9263549818124106
GAT,0.8839760024020694,0.8859551353498083,0.8790300436013314
