,E116,E122,E123
GCN,0.9099551151761517,0.9032637002174007,0.9230188838630902
MLP,0.9089087008294325,0.8960957485218539,0.9183190366849182
Weighted_Agg_GCN,0.9022600240206948,0.9018444496226854,0.9196571876175923
GAT,0.8798400673400675,0.8789757581499682,0.8943999887367495
