,E116,E122,E123
GCN,0.844311377245509,0.8310027966440272,0.8610223642172524
MLP,0.8407185628742515,0.8262085497403117,0.8538338658146964
Weighted_Agg_GCN,0.8419161676646707,0.8361965641230523,0.8570287539936102
GAT,0.8135728542914171,0.8110267678785458,0.8190894568690096
